,Unnamed: 0,Name,Category,URL,SubCategory,id
1061,45713,s0178_aorta.nii.g_1.stl,aorta,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=s0178_aorta.nii.g_1.stl,aorta,0s0178_aorta.nii.g_1
127,8720,016793_kidneyright.stl,kidneyright,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=016793_kidneyright.stl,kidney,1016793_kidneyright
714,30529,086609_aorta.stl,aorta,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=086609_aorta.stl,aorta,2086609_aorta
2285,92354,s1016_liver.nii.g_1.stl,liver,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=s1016_liver.nii.g_1.stl,liver,3s1016_liver.nii.g_1
1687,68838,s0611_aorta.nii.g_1.stl,aorta,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=s0611_aorta.nii.g_1.stl,aorta,4s0611_aorta.nii.g_1
1546,63381,s0510_aorta.nii.g_1.stl,aorta,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=s0510_aorta.nii.g_1.stl,aorta,5s0510_aorta.nii.g_1
422,19649,047501_aorta.stl,aorta,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=047501_aorta.stl,aorta,6047501_aorta
2266,91585,s1003_aorta.nii.g_1.stl,aorta,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=s1003_aorta.nii.g_1.stl,aorta,7s1003_aorta.nii.g_1
240,12947,028262_kidneyright.stl,kidneyright,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=028262_kidneyright.stl,kidney,8028262_kidneyright
1212,50742,s0286_liver.nii.g_1.stl,liver,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=s0286_liver.nii.g_1.stl,liver,9s0286_liver.nii.g_1
1758,71899,s0657_aorta.nii.g_1.stl,aorta,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=s0657_aorta.nii.g_1.stl,aorta,10s0657_aorta.nii.g_1
610,26641,073138_aorta.stl,aorta,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=073138_aorta.stl,aorta,11073138_aorta
235,12726,027550_liver.stl,liver,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=027550_liver.stl,liver,12027550_liver
1019,44237,s0146_aorta.nii.g_1.stl,aorta,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=s0146_aorta.nii.g_1.stl,aorta,13s0146_aorta.nii.g_1
575,25309,068961_aorta.stl,aorta,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=068961_aorta.stl,aorta,14068961_aorta
162,9987,020485_aorta.stl,aorta,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=020485_aorta.stl,aorta,15020485_aorta
797,33601,096761_liver.stl,liver,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=096761_liver.stl,liver,16096761_liver
1003,43626,s0133_liver.nii.g_1.stl,liver,https://uni-duisburg-essen.sciebo.de/s/HeShw1G4da15OOZ/download?path=%2F&files=s0133_liver.nii.g_1.stl,liver,17s0133_liver.nii.g_1
